what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1408875972009
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1408875972009
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1408875972009
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1408875972009
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1408875972009
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1408875972009
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1408875972009
started,bundle,com.dubture.composer.core,0.0.5,"com.dubture.composer.core",1408875972009
started,bundle,com.dubture.indexing.core,0.0.14,"com.dubture.indexing.core",1408875972009
started,bundle,com.dubture.pdt.formatter,1.0.12,"com.dubture.pdt.formatter",1408875972009
started,bundle,com.dubture.symfony.core,1.0.85,"com.dubture.symfony.core",1408875972009
started,bundle,com.dubture.symfony.index,1.0.85,"com.dubture.symfony.index",1408875972009
started,bundle,com.dubture.symfony.ui,1.0.85,"com.dubture.symfony.ui",1408875972009
started,bundle,com.dubture.twig.core,1.0.109,"com.dubture.twig.core",1408875972019
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1408875972019
started,bundle,org.eclipse.dltk.core.index.sql,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql",1408875972019
started,bundle,org.eclipse.dltk.core.index.sql.h2,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql.h2",1408875972019
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1408875972019
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1408875972019
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1408875972039
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1408875972039
started,bundle,org.eclipse.php.debug.ui,3.0.1.v201201110400,"org.eclipse.php.debug.ui",1408875972039
started,bundle,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui",1408875972039
os,sysinfo,,,"win32",1408875972039
arch,sysinfo,,,"x86",1408875972039
ws,sysinfo,,,"win32",1408875972039
locale,sysinfo,,,"de_DE",1408875972039
processors,sysinfo,,,"4",1408875972039
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408875972039
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1408875972039
java.specification.name,sysinfo,,,"Java Platform API Specification",1408875972039
java.specification.vendor,sysinfo,,,"Oracle Corporation",1408875972039
java.specification.version,sysinfo,,,"1.7",1408875972039
java.vendor,sysinfo,,,"Oracle Corporation",1408875972039
java.version,sysinfo,,,"1.7.0_55",1408875972039
java.vm.info,sysinfo,,,"mixed mode",1408875972039
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1408875972039
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1408875972039
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1408875972039
java.vm.specification.version,sysinfo,,,"1.7",1408875972039
java.vm.vendor,sysinfo,,,"Oracle Corporation",1408875972039
java.vm.version,sysinfo,,,"24.55-b03",1408875972039
started,bundle,com.dubture.symfony.annotation,1.0.85,"com.dubture.symfony.annotation",1408875972309
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1408875974859
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1408875976689
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1408875976709
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1408875976709
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1408875976759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408876019359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408878991443
