what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904564990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904567270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408904572750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904605390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904607320
error,log,,,"An exception has thrown while performing a search",1408904655651
error,log,,,"An exception has thrown while performing a search",1408904655661
error,log,,,"An exception has thrown while performing a search",1408904655671
error,log,,,"An exception has thrown while performing a search",1408904655671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904655681
error,log,,,"An exception has thrown while performing a search",1408904655681
error,log,,,"An exception has thrown while performing a search",1408904655691
error,log,,,"An exception has thrown while performing a search",1408904655701
error,log,,,"An exception has thrown while performing a search",1408904655711
error,log,,,"An exception has thrown while performing a search",1408904655721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904656821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408904664961
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408904668211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904677521
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408904679841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904682731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904696201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904704071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904705231
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408904751681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904759071
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408904759771
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408904761781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904776901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904781361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904784051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904785841
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408904808421
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408904808871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904812851
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408904813551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904815711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408904823061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904837451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904842611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904855671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904857661
error,log,,,"An exception has thrown while performing a search",1408904870292
error,log,,,"An exception has thrown while performing a search",1408904870302
error,log,,,"An exception has thrown while performing a search",1408904870302
error,log,,,"An exception has thrown while performing a search",1408904870312
error,log,,,"An exception has thrown while performing a search",1408904870322
error,log,,,"An exception has thrown while performing a search",1408904870332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904870332
error,log,,,"An exception has thrown while performing a search",1408904870342
error,log,,,"An exception has thrown while performing a search",1408904870342
error,log,,,"An exception has thrown while performing a search",1408904878842
error,log,,,"An exception has thrown while performing a search",1408904878852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904879022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904881722
error,log,,,"An exception has thrown while performing a search",1408904888382
error,log,,,"An exception has thrown while performing a search",1408904888382
error,log,,,"An exception has thrown while performing a search",1408904888392
error,log,,,"An exception has thrown while performing a search",1408904888402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904888652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904895752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408904905242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904908422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904911642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904930122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904932012
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408904941462
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408904947162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408904953792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408904982522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408904985552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408904987282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408905012812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408905025132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905085812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905269602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905271372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905358853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408905373173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408905384853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408905391213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408905394443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408905397743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905403203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905436883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905438953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905469593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905476323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905486673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408905505183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408905529633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408905532293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408905535463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408905536673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905537933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905570323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408905584503
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1408905602793
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1408905606723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408905609503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905611163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905690793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905701343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905703583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905705223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905710353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905762063
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408905838234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905844214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905846844
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408905848264
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408905849404
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408905857204
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408905860714
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408905865744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408905884414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408905888274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408905890684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408905893244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408905898694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408905904134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408905907794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408905911374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408905914064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408905934644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408905938644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408905941334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408905942944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905948614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905978084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408905993634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408906001194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408906014374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408906020324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408906023024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408906149995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408906180605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408906302350
